                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1157,                0.83644,                 1.2622,                0.94222,                0.93862,                0.97759,                0.72417,                 1.0075,                0.62906,                 1.1339,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1254,                0.83391,                 1.2396,                0.93838,                0.95683,                0.98124,                0.73518,                 1.0223,                0.61639,                  1.153,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0242,                0.81182,                 1.2081,                0.92087,                0.92094,                0.96674,                0.71063,                 1.0186,                0.64211,                 1.1393,               0.001307,               0.001307,               0.001307
                     38,                 1.0711,                0.77954,                 1.2376,                0.96631,                0.88489,                0.95475,                0.69809,                 1.0341,                0.66136,                 1.1701,              0.0012872,              0.0012872,              0.0012872
                     39,                0.97793,                0.70918,                 1.1666,                0.93131,                0.94964,                0.97968,                0.71923,                 1.0096,                0.59205,                 1.1426,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0567,                0.76819,                 1.2059,                0.97061,                0.95052,                0.98401,                0.71698,                0.99801,                0.59588,                 1.1475,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0172,                0.72223,                 1.1699,                0.95656,                0.95043,                0.98545,                0.71251,                 1.0265,                 0.5889,                 1.1847,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0692,                0.75499,                 1.2395,                0.95164,                0.97122,                0.98309,                0.72258,                  1.028,                0.60348,                 1.1555,               0.001208,               0.001208,               0.001208
                     43,                 1.0639,                0.73795,                 1.2171,                0.93606,                0.96403,                0.98415,                0.71832,                 1.0135,                0.62099,                 1.1491,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.012,                0.72923,                 1.1898,                0.98525,                0.96091,                0.98688,                0.70642,                  1.048,                0.60292,                 1.1851,              0.0011684,              0.0011684,              0.0011684
                     45,                0.99526,                0.70869,                 1.1771,                0.94135,                0.94964,                0.96864,                0.71949,                0.99746,                0.64504,                 1.1165,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0069,                 0.6778,                 1.1722,                0.93818,                0.95683,                0.98616,                0.72174,                 1.0161,                0.57718,                  1.144,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0232,                0.72208,                 1.2162,                0.94885,                0.93418,                0.98559,                0.72195,                 1.0328,                0.56397,                 1.1329,               0.001109,               0.001109,               0.001109
                     48,                 1.0693,                0.72031,                 1.1952,                 0.9847,                0.92619,                0.97834,                0.72352,                 1.0049,                0.58873,                 1.1154,              0.0010892,              0.0010892,              0.0010892
                     49,                   1.12,                0.78943,                  1.282,                0.98274,                0.93525,                0.98763,                0.71556,                 1.0307,                0.56411,                 1.1507,              0.0010694,              0.0010694,              0.0010694
                     50,                0.96617,                  0.727,                 1.1508,                0.98317,                0.94964,                0.99097,                0.72599,                0.98252,                0.53264,                 1.1314,              0.0010496,              0.0010496,              0.0010496
                     51,                0.94942,                0.69365,                 1.1482,                0.95032,                0.96324,                0.99061,                0.72963,                0.97931,                0.55872,                 1.1568,              0.0010298,              0.0010298,              0.0010298
                     52,                0.97519,                0.64827,                  1.148,                0.95129,                0.98358,                 0.9881,                0.72149,                0.98657,                0.53026,                 1.1569,                0.00101,                0.00101,                0.00101
                     53,                0.94604,                 0.6465,                  1.141,                0.94427,                0.97512,                0.98866,                0.72291,                0.97861,                0.52262,                 1.1505,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.028,                0.70248,                 1.1798,                0.94385,                0.97842,                0.98448,                 0.7293,                0.99199,                0.56398,                 1.1402,              0.0009704,              0.0009704,              0.0009704
                     55,                0.95625,                0.64289,                  1.145,                0.97061,                0.95052,                0.98946,                0.74315,                0.96089,                0.51571,                 1.1257,              0.0009506,              0.0009506,              0.0009506
                     56,                0.95695,                0.67223,                 1.1699,                0.97173,                0.98925,                0.99323,                0.73081,                0.98289,                0.54077,                 1.1539,              0.0009308,              0.0009308,              0.0009308
                     57,                0.98205,                0.69105,                 1.1712,                0.97804,                0.96103,                0.98478,                0.72547,                0.97791,                0.51871,                  1.136,               0.000911,               0.000911,               0.000911
                     58,                0.93854,                 0.6485,                 1.1513,                0.98453,                0.94964,                 0.9911,                0.72819,                0.95524,                0.51068,                 1.1073,              0.0008912,              0.0008912,              0.0008912
                     59,                0.93189,                0.64942,                 1.1251,                0.98521,                0.95822,                0.98924,                 0.7398,                0.98506,                 0.5169,                 1.1159,              0.0008714,              0.0008714,              0.0008714
                     60,                0.91014,                0.62731,                 1.1228,                0.96991,                0.97842,                0.99136,                0.73303,                0.97859,                0.50917,                  1.133,              0.0008516,              0.0008516,              0.0008516
                     61,                0.94368,                0.64109,                  1.159,                0.96025,                0.97122,                0.99138,                0.74895,                0.97687,                 0.5146,                 1.0968,              0.0008318,              0.0008318,              0.0008318
                     62,                0.94396,                0.60353,                 1.1336,                0.93887,                0.93525,                0.97193,                0.72687,                0.95552,                0.56106,                 1.1198,               0.000812,               0.000812,               0.000812
                     63,                0.91766,                0.62475,                  1.136,                0.97807,                0.96278,                0.98999,                0.74032,                0.94823,                0.49724,                  1.112,              0.0007922,              0.0007922,              0.0007922
                     64,                0.91715,                0.61536,                   1.14,                 0.9594,                0.96403,                 0.9908,                0.74472,                0.96098,                 0.4955,                 1.1146,              0.0007724,              0.0007724,              0.0007724
                     65,                0.95643,                0.60651,                  1.154,                0.95783,                0.98043,                0.99161,                0.74272,                0.96425,                0.49185,                 1.1059,              0.0007526,              0.0007526,              0.0007526
                     66,                0.90066,                 0.6557,                  1.113,                0.97617,                0.97842,                0.99128,                0.75388,                0.95438,                0.48697,                 1.1048,              0.0007328,              0.0007328,              0.0007328
                     67,                0.88623,                0.57016,                 1.1179,                0.93771,                0.97474,                0.98772,                 0.7461,                0.97094,                0.51468,                 1.0959,               0.000713,               0.000713,               0.000713
                     68,                0.89932,                0.62587,                 1.1163,                0.97797,                0.95791,                0.99132,                0.74739,                0.96123,                0.49156,                  1.129,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.9006,                0.58713,                  1.132,                0.95307,                0.95683,                0.98573,                0.74813,                0.94239,                0.51293,                 1.1065,              0.0006734,              0.0006734,              0.0006734
                     70,                0.90795,                0.66807,                 1.1348,                 0.9507,                0.97113,                0.98902,                0.74357,                0.95244,                0.49613,                 1.1108,              0.0006536,              0.0006536,              0.0006536
                     71,                0.89021,                0.59477,                 1.1108,                0.95555,                0.97842,                0.99164,                0.73809,                0.93105,                 0.4844,                 1.1148,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.8075,                0.55377,                  1.072,                0.97829,                0.97255,                0.99215,                0.73316,                0.97731,                0.48141,                 1.1163,               0.000614,               0.000614,               0.000614
                     73,                0.83116,                0.56331,                 1.0913,                0.96444,                0.97566,                0.99254,                0.75299,                0.94223,                0.47625,                 1.0955,              0.0005942,              0.0005942,              0.0005942
                     74,                0.84925,                0.53648,                 1.0875,                0.95762,                0.97122,                0.99131,                0.75094,                0.92697,                 0.4752,                 1.0622,              0.0005744,              0.0005744,              0.0005744
                     75,                0.88086,                0.61184,                 1.1347,                0.97011,                0.95683,                0.99011,                0.75602,                0.91237,                0.46291,                   1.06,              0.0005546,              0.0005546,              0.0005546
                     76,                0.89488,                0.58819,                 1.1251,                0.95685,                0.95683,                0.98947,                0.74817,                0.93891,                0.47215,                 1.0837,              0.0005348,              0.0005348,              0.0005348
                     77,                0.86945,                0.60501,                 1.1078,                0.95054,                0.96783,                 0.9886,                0.75571,                0.89755,                0.46459,                  1.065,               0.000515,               0.000515,               0.000515
                     78,                0.88415,                0.64233,                 1.0975,                0.97131,                0.95683,                0.98958,                0.76429,                0.90464,                0.45276,                 1.0638,              0.0004952,              0.0004952,              0.0004952
                     79,                0.81555,                0.54138,                 1.0822,                0.96117,                0.97122,                0.99092,                0.74641,                0.95339,                0.45957,                 1.1134,              0.0004754,              0.0004754,              0.0004754
                     80,                0.86948,                0.54925,                 1.1264,                0.97122,                0.97095,                 0.9915,                0.75615,                0.92865,                0.45876,                 1.0805,              0.0004556,              0.0004556,              0.0004556
                     81,                0.79354,                0.52859,                 1.0592,                0.96239,                0.97842,                0.99265,                0.77077,                0.87565,                0.43245,                 1.0665,              0.0004358,              0.0004358,              0.0004358
                     82,                  0.834,                0.53137,                 1.0964,                0.97069,                0.95296,                0.99015,                0.75964,                0.90355,                0.45431,                 1.0716,               0.000416,               0.000416,               0.000416
                     83,                0.84392,                0.53188,                 1.0888,                0.98503,                0.94698,                0.98996,                 0.7551,                0.92453,                0.45526,                 1.0787,              0.0003962,              0.0003962,              0.0003962
                     84,                0.80785,                0.51472,                 1.0697,                0.97096,                0.96231,                0.98288,                0.74885,                0.92435,                 0.4845,                 1.0876,              0.0003764,              0.0003764,              0.0003764
                     85,                0.76725,                0.51611,                 1.0605,                0.96447,                0.97654,                0.99112,                0.75139,                0.92337,                0.45272,                 1.0832,              0.0003566,              0.0003566,              0.0003566
                     86,                0.78693,                  0.498,                 1.0486,                0.96501,                0.99197,                0.99268,                 0.7603,                0.92467,                0.44306,                 1.0753,              0.0003368,              0.0003368,              0.0003368
                     87,                0.79657,                0.48247,                 1.1006,                0.97948,                0.95683,                0.99296,                0.74653,                0.93594,                0.45356,                 1.1043,               0.000317,               0.000317,               0.000317
                     88,                0.77998,                0.49417,                 1.0669,                0.95298,                0.97122,                0.99177,                0.75525,                0.93447,                0.45839,                 1.0798,              0.0002972,              0.0002972,              0.0002972
                     89,                0.80635,                0.50413,                 1.0709,                0.97763,                0.95683,                0.99165,                0.75463,                0.91704,                0.44931,                 1.0725,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.7291,                0.58762,                 1.0019,                0.97823,                0.96975,                0.99209,                0.77045,                0.90916,                0.44624,                 1.0685,              0.0002576,              0.0002576,              0.0002576
                     91,                0.78087,                0.50369,                 1.0578,                 0.9645,                 0.9772,                0.99122,                0.76041,                 0.9173,                0.44937,                  1.065,              0.0002378,              0.0002378,              0.0002378
                     92,                0.74994,                0.46886,                  1.033,                0.98429,                0.96403,                0.99149,                 0.7599,                0.91456,                0.45089,                 1.0657,               0.000218,               0.000218,               0.000218
                     93,                0.76242,                0.48056,                  1.051,                0.98272,                0.97122,                0.99202,                0.76897,                0.89335,                0.44179,                 1.0734,              0.0001982,              0.0001982,              0.0001982
                     94,                0.83639,                 0.5371,                 1.1368,                 0.9714,                0.97727,                0.99159,                0.76671,                0.89583,                0.43664,                 1.0847,              0.0001784,              0.0001784,              0.0001784
                     95,                0.76503,                0.50252,                  1.071,                0.97115,                0.98561,                0.99309,                 0.7651,                0.89038,                0.43455,                 1.0912,              0.0001586,              0.0001586,              0.0001586
                     96,                0.74077,                0.43148,                  1.069,                0.98397,                0.97842,                0.99348,                0.77062,                0.88437,                0.43109,                  1.092,              0.0001388,              0.0001388,              0.0001388
                     97,                0.72941,                0.42116,                  1.038,                0.99224,                0.97842,                0.99367,                0.77195,                0.88468,                0.42889,                 1.0864,               0.000119,               0.000119,               0.000119
                     98,                0.73205,                0.45568,                 1.0591,                0.98569,                0.99089,                0.99413,                0.77604,                0.88507,                0.42627,                 1.0831,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.73487,                0.44321,                 1.0659,                0.97077,                0.99281,                0.99392,                0.76963,                0.88971,                0.42621,                 1.0888,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.73332,                0.47392,                  1.064,                0.96685,                0.98561,                0.99363,                0.76527,                0.89371,                0.42889,                 1.0931,               5.96e-05,               5.96e-05,               5.96e-05
